prime_award_report_id,prime_award_piid,prime_award_idvpiid,prime_award_federal_award_id,Type_of_Spending,prime_award_date_submitted,prime_award_report_month,prime_award_report_year,prime_award_report_type,prime_award_principal_place_street,prime_award_principal_place_city,prime_award_principal_place_state,prime_award_principal_place_zip,prime_award_principal_place_district,prime_award_principal_place_country,prime_awardee_parent_duns,prime_awardee_parent_contractor_name,prime_award_contracting_agency_id,prime_award_contracting_agency_name,prime_award_contracting_office_id,prime_award_contracting_office_name,prime_award_funding_agency_id,prime_award_funding_agency_name,prime_award_funding_office_id,prime_award_funding_office_name,prime_award_program_source_agency,prime_award_program_source_account,prime_award_program_source_subaccount,prime_awardee_executive1,prime_awardee_executive1_compensation,prime_awardee_executive2,prime_awardee_executive2_compensation,prime_awardee_executive3,prime_awardee_executive3_compensation,prime_awardee_executive4,prime_awardee_executive4_compensation,prime_awardee_executive5,prime_awardee_executive5_compensation,prime_award_principal_naics_code,prime_award_principal_naics_desc,prime_award_CFDA_program_number_title_codes,prime_award_amount,prime_award_date_signed,prime_award_project_description,prime_award_transaction_type,prime_award_program_title,prime_awardee_recovery_model_q1,prime_awardee_recovery_model_q2,prime_award_fiscal_year,prime_award_contracting_major_agency_id,prime_award_contracting_major_agency_name,prime_award_funding_major_agency_id,prime_award_funding_major_agency_name,prime_award_agencyid,prime_award_idvagencyid,subawardee_dunsnumber,subawardee_name,subawardee_dba_name,subawardee_street,subawardee_city,subawardee_state,subawardee_zipcode,subawardee_congressionaldistrict,subawardee_countrycode,subaward_principal_place_street,subaward_principal_place_city,subaward_principal_place_state,subaward_principal_place_zip,subaward_principal_place_district,subaward_principal_place_country,subawardee_parent_duns,subawardee_parent_contractor_name,subaward_amount,subaward_date,subaward_principal_naics_code,subaward_principal_naics_desc,subaward_funding_office_id,subaward_funding_office_name,subaward_federal_agency_id,subaward_federal_agency_name,subaward_major_agency_id,subaward_major_agency_name,subaward_number,subaward_project_description,subawardee_recovery_model_q1,subawardee_recovery_model_q2,subaward_report_month,subaward_report_year,subaward_fiscal_year,subawardee_executive1,subawardee_executive1_compensation,subawardee_executive2,subawardee_executive2_compensation,subawardee_executive3,subawardee_executive3_compensation,subawardee_executive4,subawardee_executive4_compensation,subawardee_executive5,subawardee_executive5_compensation,subawardee_business_types,subaward_CFDA_program_number_title_codes
0e3ea7e5666248de249f94e70a56707d,B13MC350005,,B13MC350005,sg,02/18/2014,02,2014,,,Farmington,NM,875030000,NM03,US,080376346,CITY OF FARMINGTON,,ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,14.218 Community Development Block Grants/Entitlement Grants,400902.00,12/31/2013,ENTITLED CITIES,,ENTITLED CITIES,,,2014,8600,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",8600,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,111600003,EMERGENCY SHELTER OF FARMINGTON,PEOPLE ASSISTING THE HOMELESS,309 W PINON ST,Farmington,NM,874015961,NM03,US,,Farmington,NM,874015961,NM03,US,,,27135.30,12/31/2013,,,,,,,8600,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",B13MC350005,Transitional Housing Operations,0,0,02,2014,2014,,,,,,,,,,,,14.218 Community Development Block Grants/Entitlement Grants
0e3ea7e5666248de249f94e70a56707d,B13MC350005,,B13MC350005,sg,02/18/2014,02,2014,,,Farmington,NM,875030000,NM03,US,080376346,CITY OF FARMINGTON,,ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,14.218 Community Development Block Grants/Entitlement Grants,400902.00,12/31/2013,ENTITLED CITIES,,ENTITLED CITIES,,,2014,8600,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",8600,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,079196083,Four Corners Foundation Inc.,,124 N ORCHARD AVE,Farmington,NM,874016223,NM03,US,,Farmington,NM,874016223,NM03,US,,,155000.00,12/31/2013,,,,,,,8600,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",B13MC350005,Transitional Housing Construction,0,0,02,2014,2014,,,,,,,,,,,,14.218 Community Development Block Grants/Entitlement Grants
0e3ea7e5666248de249f94e70a56707d,B13MC350005,,B13MC350005,sg,02/18/2014,02,2014,,,Farmington,NM,875030000,NM03,US,080376346,CITY OF FARMINGTON,,ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,14.218 Community Development Block Grants/Entitlement Grants,400902.00,12/31/2013,ENTITLED CITIES,,ENTITLED CITIES,,,2014,8600,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",8600,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,829107338,MASADA HOUSE,,4501B ROWE AVE,FARMINGTON,NM,874023013,NM03,US,,Farmington,NM,874023013,NM03,US,,,77800.00,12/31/2013,,,,,,,8600,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",B13MC350005,New Men's Facility,0,0,02,2014,2014,,,,,,,,,,,,14.218 Community Development Block Grants/Entitlement Grants
00f9d862ed7ff89f95d430938ceffd45,NM04003100,,NM04003100,sg,11/19/2013,11,2013,,,SANTA FE,NM,875041149,NM03,US,007111818,,,FEDERAL TRANSIT ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,20.500 Federal Transit_Capital Investment Grants,364000.00,10/01/2013,2012  Veterans Transportation - VTC,,2012  Veterans Transportation - VTC,,,2014,6900,"TRANSPORTATION, DEPARTMENT OF",6900,"TRANSPORTATION, DEPARTMENT OF",,,117883178,"TRANSPORTATION, NEW MEXICO DEPARTMENT OF",NMDOT,1350 ALTA VISTA ST,SANTA FE,NM,875054143,NM03,US,,Santa Fe,NM,875054143,NM03,US,007111818,,40000.00,10/01/2013,,,,,,,6900,"TRANSPORTATION, DEPARTMENT OF",PTBNM040031003,"Transit AVL system (software and Hardware): Northern & Central NM: Santa Fe, Rio Arriba, Los Alamos and San Miguel Counties.",0,0,11,2013,2014,,,,,,,,,,,,20.500 Federal Transit_Capital Investment Grants
00f9d862ed7ff89f95d430938ceffd45,NM04003100,,NM04003100,sg,11/19/2013,11,2013,,,SANTA FE,NM,875041149,NM03,US,007111818,,,FEDERAL TRANSIT ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,20.500 Federal Transit_Capital Investment Grants,364000.00,10/01/2013,2012  Veterans Transportation - VTC,,2012  Veterans Transportation - VTC,,,2014,6900,"TRANSPORTATION, DEPARTMENT OF",6900,"TRANSPORTATION, DEPARTMENT OF",,,876857926,NORTH CENTRAL REGIONAL TRANSIT DISTRICT,NCRTD,1327 N RIVERSIDE DR,ESPANOLA,NM,875329510,NM03,US,,Espanola,NM,875329510,NM03,US,,,272000.00,10/01/2013,,,,,,,6900,"TRANSPORTATION, DEPARTMENT OF",PTBNM040031001,"Transit scheduling, Reporting & Vehicle location software.",0,0,11,2013,2014,,,,,,,,,,,,20.500 Federal Transit_Capital Investment Grants
00f9d862ed7ff89f95d430938ceffd45,NM04003100,,NM04003100,sg,11/19/2013,11,2013,,,SANTA FE,NM,875041149,NM03,US,007111818,,,FEDERAL TRANSIT ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,20.500 Federal Transit_Capital Investment Grants,364000.00,10/01/2013,2012  Veterans Transportation - VTC,,2012  Veterans Transportation - VTC,,,2014,6900,"TRANSPORTATION, DEPARTMENT OF",6900,"TRANSPORTATION, DEPARTMENT OF",,,069420818,"SANTA FE, CITY OF",,200 LINCOLN AVE,SANTA FE,NM,875041904,NM03,US,,Santa Fe,NM,875041904,NM03,US,069420818,"SANTA FE, CITY OF",52000.00,10/01/2013,,,,,,,6900,"TRANSPORTATION, DEPARTMENT OF",PTBNM040031002,Transit vehicle routing & Schedule system. ,0,0,11,2013,2014,,,,,,,,,,,,20.500 Federal Transit_Capital Investment Grants
0c5633a43cf0afb19ab03d74e7087a73,AA241091355A35,,AA241091355A35,sg,11/26/2013,10,2013,,,ALBUQUERQUE,NM,871031928,NM01,US,007111818,,,EMPLOYMENT AND TRAINING ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,17.278 WIA Dislocated Worker Formula Grants; 17.258 WIA Adult Program; 17.259 WIA Youth Activities,4712789.00,10/01/2013,WIA Youth/Adult/Dislocated Workers Formula Combined,,WIA Youth/Adult/Dislocated Workers Formula Combined,,,2014,1600,"LABOR, DEPARTMENT OF",1600,"LABOR, DEPARTMENT OF",,,072744241,Emp Encon Info Ctr,,2909 LA VETA DR NE,Albuquerque,NM,871103109,NM01,US,,Albuquerque,NM,871103109,NM01,US,,,1457942.00,10/01/2013,,,,,,,1600,"LABOR, DEPARTMENT OF",14-631-0001-00016,17.259 WIA Youth Activities 17.258 WIA Adult Activities 17.278 WIA DW ACtvities,0,0,10,2013,2014,,,,,,,,,,,,17.278 WIA Dislocated Worker Formula Grants; 17.258 WIA Adult Program; 17.259 WIA Youth Activities
0c5633a43cf0afb19ab03d74e7087a73,AA241091355A35,,AA241091355A35,sg,11/26/2013,10,2013,,,ALBUQUERQUE,NM,871031928,NM01,US,007111818,,,EMPLOYMENT AND TRAINING ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,17.278 WIA Dislocated Worker Formula Grants; 17.258 WIA Adult Program; 17.259 WIA Youth Activities,4712789.00,10/01/2013,WIA Youth/Adult/Dislocated Workers Formula Combined,,WIA Youth/Adult/Dislocated Workers Formula Combined,,,2014,1600,"LABOR, DEPARTMENT OF",1600,"LABOR, DEPARTMENT OF",,,361344992,Northern Area Local Workforce Development Board,NALWDB,5 BISBEE CT STE 104,Santa Fe,NM,875081419,NM03,US,,Santa Fe,NM,875081419,NM03,US,,,2157205.00,10/01/2013,,,,,,,1600,"LABOR, DEPARTMENT OF",14-631-0001-00017,17.259 WIA Youth Activities 17.258 WIA Adult Activities 17.278 WIA DW ACtvities,1,1,10,2013,2014,,,,,,,,,,,,17.278 WIA Dislocated Worker Formula Grants; 17.258 WIA Adult Program; 17.259 WIA Youth Activities
2cb5fc78fdbb90152f8e2347660c7e7f,99692515,,99692515,sg,12/04/2013,11,2013,,,Statewide,NM,875012152,NM03,US,,,,ENVIRONMENTAL PROTECTION AGENCY,,,,,,,,,,,,,,,,,,,,,,66.468 Capitalization Grants for Drinking Water State Revolving Funds,8975000.00,11/22/2013,To provide federal funds to the State of New Mexico for the purposes of providing loan assistance to eligible public water systems for infrastructure,,To provide federal funds to the State of New Mexico for the purposes of providing loan assistance to eligible public water systems for infrastructure,,,2014,6800,ENVIRONMENTAL PROTECTION AGENCY,6800,ENVIRONMENTAL PROTECTION AGENCY,,,084475854,CITY OF CARLSBAD,,101 N HALAGUENO ST,CARLSBAD,NM,882204943,NM02,US,,Carlsbad,NM,882203795,NM02,US,084475854,CITY OF CARLSBAD,1687971.00,11/22/2013,,,,,,,6800,ENVIRONMENTAL PROTECTION AGENCY,2867-DW,Pipe upgrade and system improvements ,0,0,11,2013,2014,,,,,,,,,,,,66.468 Capitalization Grants for Drinking Water State Revolving Funds
33b53756a556902167ede41e13a8c59b,99692514,,99692514,sg,12/04/2013,11,2013,,,Statewide,NM,875012151,NM03,US,,,,ENVIRONMENTAL PROTECTION AGENCY,,,,,,,,,,,,,,,,,,,,,,66.468 Capitalization Grants for Drinking Water State Revolving Funds,9418000.00,11/22/2013,To provide federal funds to the State of New Mexico for the purposes of providing loan assistance to eligible public water systems for infrastructure,,To provide federal funds to the State of New Mexico for the purposes of providing loan assistance to eligible public water systems for infrastructure,,,2014,6800,ENVIRONMENTAL PROTECTION AGENCY,6800,ENVIRONMENTAL PROTECTION AGENCY,,,084475854,CITY OF CARLSBAD,,101 N HALAGUENO ST,CARLSBAD,NM,882204943,NM02,US,,Carlsbad,NM,882203795,NM02,US,084475854,CITY OF CARLSBAD,1338669.00,11/22/2013,,,,,,,6800,ENVIRONMENTAL PROTECTION AGENCY,2867-DW,Pipe upgrade and system improvements ,0,0,11,2013,2014,,,,,,,,,,,,66.468 Capitalization Grants for Drinking Water State Revolving Funds
