"Agency Name",Sub-Agency/Publisher,"Organization Type",Datasets,"Last Entry"
"State of Oregon",,"State Government",564,08/01/2018
"State of Oregon",data.oregon.gov,"State Government",564,08/01/2018
"State of Washington",,"State Government",542,08/03/2018
"State of Washington","Department/Agency level/No publisher","State Government",1,05/13/2018
"State of Washington",data.wa.gov,"State Government",541,08/03/2018
"The Fund for Peace",,Non-Profit,1,07/08/2014
"Town of Cary, North Carolina",,"City Government",36,12/13/2017
"Town of Cary, North Carolina","National Oceanic and Atmospheric Administration - National Centers for Environmental Information","City Government",1,07/22/2017
"Town of Cary, North Carolina","The Town of Cary","City Government",4,07/22/2017
"Town of Cary, North Carolina","Town of Cary","City Government",29,12/13/2017
"Town of Cary, North Carolina","Wake County Government","City Government",1,07/22/2017
"Town of Cary, North Carolina","WakeGov Open Data","City Government",1,07/22/2017
"Town of Chapel Hill, North Carolina",,"City Government",54,04/11/2018
"Town of Chapel Hill, North Carolina","NCDOT, Division of Bicycle and Pedestrian Transportation","City Government",2,11/20/2017
"Town of Chapel Hill, North Carolina","Town of Chapel Hill","City Government",51,04/11/2018
"Town of Chapel Hill, North Carolina","US Census","City Government",1,11/20/2017
"United Nations Cartographic Section",,Non-Profit,135,02/25/2015
"University of Arizona",,University,3,05/17/2013
"University of California San Diego",,University,5,07/24/2014
"University of Idaho",,University,205,03/14/2018
"University of New Hampshire",,University,63,05/17/2013
"University of Rhode Island Geospatial Extension Program",,University,21,05/17/2013
"Vermont Center for Geographic Information",,"State Government",988,08/04/2018
"Vermont Center for Geographic Information","VT Center for Geographic Information","State Government",988,08/04/2018
"Virginia Department of Environmental Quality",,"State Government",2,04/10/2015
"WV GIS Technical Center",,University,11,05/17/2013
"Wake County",,"County Government",321,08/03/2018
"Wake County","Wake County","County Government",321,08/03/2018
"Washington University St Louis",,University,59,05/17/2013
"World Resources Institute",,Non-Profit,1,06/25/2014
