"Agency Name",Sub-Agency/Publisher,"Organization Type",Datasets,"Last Entry"
"Department of Commerce","DOC/NOAA/NESDIS/NCEI > National Centers for Environmental Information, NESDIS, NOAA, U.S. Department of Commerce (Point of Contact); STAR > Center for Satellite Applications and Research (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","DOC/NOAA/NESDIS/NODC/NCDDC> National Coastal Data Development Center (Custodian)","Federal Government",12,02/26/2016
"Department of Commerce","DOC/NOAA/NMFS/AFSC > Alaska Fisheries Science Center (Principal Investigator)","Federal Government",2,02/26/2016
"Department of Commerce","Denver Federal Center (Principal Investigator); National Snow and Ice Data Center (Principal Investigator, Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","Department of Agriculture and Board of Trustees of Michigan State University","Federal Government",1,08/14/2015
"Department of Commerce","Department of Commerce","Federal Government",21,08/01/2018
"Department of Commerce","Department/Agency level/No publisher","Federal Government",2,02/26/2016
"Department of Commerce","Florida State University (FSU) Antarctic Marine Geology Research Facility (AMGRF) (Originator, Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce",HUD,"Federal Government",1,03/02/2018
"Department of Commerce","IFREMER/CERSAT > Institut Francais de Recherche pour l'Exploitation de la Mer, Center d'Exploitation et de Recherche Satellitaire (Point of Contact); DOC/NOAA/NESDIS/NCEI > National Centers for Environmental Information, NESDIS, NOAA, U.S. Department of Commerce (Point of Contact)","Federal Government",3,02/26/2016
"Department of Commerce","International Trade Administration","Federal Government",8,05/13/2017
"Department of Commerce","International Trade Administration, Department of Commerce","Federal Government",29,05/13/2017
"Department of Commerce","NOAA Fisheries Headquarters (Point of Contact)","Federal Government",2,02/26/2016
"Department of Commerce","NOAA NDBC, NOAA NMFS SWFSC ERD (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","NOAA NODC (Point of Contact)","Federal Government",1,02/16/2017
"Department of Commerce","NOAA Office for Coastal Management (OCM) (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","NOAA Office for Coastal Management (Point of Contact)","Federal Government",8,02/26/2016
"Department of Commerce","NOAA/Great Lakes Environmental Research Laboratory (Point of Contact)","Federal Government",1,02/16/2017
"Department of Commerce","NOAA/NESDIS/NCEI - National Centers for Environmental Information (Point of Contact)","Federal Government",7,02/16/2017
"Department of Commerce","NOAA/NESDIS/NGDC - National Geophysical Data Center (Point of Contact)","Federal Government",2,02/26/2016
"Department of Commerce","NOAA/NESDIS/NODC/NCDDC -- National Coastal Data Development Center (Point of Contact)","Federal Government",2,02/26/2016
"Department of Commerce","NOAA/NESDIS/NODC/NCDDC-National Coastal Data Development Center (Point of Contact)","Federal Government",290,02/26/2016
"Department of Commerce","NOAA/NMFS/OHC/HPD (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","National Institute of Standards and Technology","Federal Government",284,08/01/2018
"Department of Commerce","National Marine Mammal Laboratory (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","National Oceanic and Atmospheric Administration","Federal Government",4,02/26/2016
"Department of Commerce","National Oceanic and Atmospheric Administration","Federal Government",64720,02/08/2018
"Department of Commerce","National Snow and Ice Data Center (Point of Contact)","Federal Government",3,02/16/2017
"Department of Commerce","National Snow and Ice Data Center (Point of Contact); National Weather Service (Principal Investigator)","Federal Government",1,02/26/2016
"Department of Commerce","National Snow and Ice Data Center (Point of Contact); US Department of Transportation, Maritime Administration (Principal Investigator)","Federal Government",1,02/26/2016
"Department of Commerce","National Snow and Ice Data Center (Principal Investigator)","Federal Government",1,02/16/2017
"Department of Commerce","National Technical Information Service, Department of Commerce","Federal Government",1,09/17/2015
"Department of Commerce","National Telecommunication and Information Administration","Federal Government",2,09/17/2015
"Department of Commerce","National Telecommunication and Information Administration, Department of Commerce","Federal Government",30,09/17/2015
"Department of Commerce","National Weather Service, Department of Commerce","Federal Government",11,09/01/2016
"Department of Commerce","North American Submarine Cable Association (NASCA) (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","OFFICE OF  INSPECTOR GENERAL","Federal Government",1,02/16/2017
"Department of Commerce","OFFICE OF INSPECTOR GENERAL","Federal Government",1,02/16/2017
"Department of Commerce","Office of Inspector General","Federal Government",52,02/16/2017
"Department of Commerce","Office of Spectrum Management","Federal Government",1,02/26/2016
"Department of Commerce","Office of the Inspector General","Federal Government",3,02/16/2017
"Department of Commerce","Officer of Inspector General","Federal Government",1,02/16/2017
"Department of Commerce","Officie of Inspector General","Federal Government",1,12/02/2015
"Department of Commerce","Oregon State University (OSU) College of Earth, Ocean and Atmospheric Sciences (CEOAS) Marine Geology Repository (MGR) (Originator, Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","Penn State University (Principal Investigator)","Federal Government",1,02/26/2016
"Department of Commerce","Southeast Fisheries Science Center (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","U.S. Census Bureau, Department of Commerce","Federal Government",1,07/15/2016
"Department of Commerce","U.S. Census Bureau, U.S. Department of Commerce","Federal Government",1,07/15/2016
"Department of Commerce","U.S. Department of Commerce","Federal Government",4,03/02/2018
"Department of Commerce","UCO/LASP > Laboratory for Atmospheric and Space Physics, University of Colorado (Point of Contact); DOC/NOAA/NESDIS/NCEI > National Centers for Environmental Information, NESDIS, NOAA, U.S. Department of Commerce (Point of Contact)","Federal Government",2,02/26/2016
"Department of Commerce","US Census Burea, Dept of Commerce","Federal Government",1,07/15/2016
"Department of Commerce","US Census Bureau","Federal Government",820,08/03/2018
"Department of Commerce","US Census Bureau,","Federal Government",1,03/02/2018
"Department of Commerce","US Census Bureau, Department of Commerce","Federal Government",206,03/02/2018
"Department of Commerce","US Census Bureau, Dept of Commerce","Federal Government",6,03/02/2018
"Department of Commerce","US Census Bureau, US Department of Commerce","Federal Government",43,03/02/2018
"Department of Commerce","University of Alaska at Fairbanks (Principal Investigator); University of Colorado at Boulder (Principal Investigator); National Snow and Ice Data Center (Point of Contact, Principal Investigator)","Federal Government",1,02/26/2016
"Department of Commerce","University of California San Diego (UCSD) Scripps Institution of Oceanography (SIO) Geological Collections (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","University of Hawaii at Manoa, Department of Geology and Geophysics (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","University of Illinois at Urbana-Champaign (Principal Investigator); Denver Botanic Gardens (Principal Investigator); National Snow and Ice Data Center (Point of Contact, Principal Investigator)","Federal Government",1,02/16/2017
"Department of Commerce","University of Illinois at Urbana-Champaign (Principal Investigator); National Snow and Ice Data Center (Point of Contact)","Federal Government",1,02/16/2017
"Department of Commerce","University of Maryland","Federal Government",1,08/14/2015
"Department of Commerce","University of Minnesota National Lacustrine Core Repository (LacCore) (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","University of Rhode Island (URI) Graduate School of Oceanography (GSO) Marine Geological Samples Laboratory (MGSL) (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","University of Washington (Principal Investigator); National Snow and Ice Data Center (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","Wisconsin Alumni Research Foundation","Federal Government",1,08/14/2015
"Department of Defense",,"Federal Government",308,10/09/2017
"Department of Defense","Army Corps of Engineers","Federal Government",127,07/22/2015
"Department of Defense","Defense Commissary Agency","Federal Government",1,01/18/2017
"Department of Defense","Defense Logistics Agency","Federal Government",4,01/18/2017
"Department of Defense","Department of Defense","Federal Government",156,01/19/2017
"Department of Defense","Department of Defense Inspector General","Federal Government",1,01/18/2017
"Department of Defense","Department of the Air Force","Federal Government",1,01/18/2017
"Department of Defense","Federal Voting Assistance Program","Federal Government",7,01/18/2017
"Department of Defense","National Geospatial-Intelligence Agency","Federal Government",3,11/17/2015
"Department of Defense","Office of the Secretary of Defense","Federal Government",2,01/18/2017
"Department of Defense","US Army Corps of Engineers","Federal Government",3,10/09/2017
"Department of Defense","World Wide Human Geography Data Working Group","Federal Government",3,07/18/2014
"Department of Education",,"Federal Government",370,08/03/2018
"Department of Education","Institute of Museum and Library Services","Federal Government",14,01/11/2018
"Department of Education","Nationa Center for Education Statistics","Federal Government",1,01/30/2017
"Department of Education","National Center for Education Evaluation and Regional Assistance","Federal Government",7,01/11/2018
"Department of Education","National Center for Education Statistics","Federal Government",171,03/26/2018
"Department of Education","National Center for Special Education Research","Federal Government",2,03/26/2018
"Department of Education","Office for Civil Rights","Federal Government",8,03/26/2018
"Department of Education","Office of Career, Technical, and Adult Education","Federal Government",19,03/26/2018
"Department of Education","Office of Elementary and Secondary Education","Federal Government",19,03/26/2018
"Department of Education","Office of Federal Student Aid","Federal Government",33,08/03/2018
"Department of Education","Office of Innovation and Improvement","Federal Government",16,06/03/2017
"Department of Education","Office of Language Acquisition","Federal Government",2,03/26/2018
"Department of Education","Office of Migrant Education","Federal Government",2,03/26/2018
"Department of Education","Office of Planning, Evaluation, and Policy Development","Federal Government",1,09/29/2017
"Department of Education","Office of Postsecondary Education","Federal Government",16,08/03/2018
"Department of Education","Office of Safe and Healthy Students","Federal Government",11,09/29/2017
"Department of Education","Office of Special Education Programs","Federal Government",25,03/26/2018
"Department of Education","Office of Special Education and Rehabilitative Services","Federal Government",2,09/29/2017
"Department of Education","Office of Vocational and Adult Education","Federal Government",2,06/03/2017
"Department of Education","Office of the Chief Information Officer","Federal Government",5,09/29/2017
"Department of Education","U.S. Department of Education","Federal Government",14,03/26/2018
"Department of Energy",,"Federal Government",2524,08/03/2018
"Department of Energy",ABB,"Federal Government",2,12/03/2017
"Department of Energy","ATLAS Geosciences Inc","Federal Government",2,11/08/2017
"Department of Energy","Aditya Choukulkar","Federal Government",3,03/26/2018
"Department of Energy","AltaRock Energy Inc","Federal Government",12,02/23/2018
"Department of Energy","Argonne National Laboratory","Federal Government",10,08/02/2018
"Department of Energy","Arizona State Geological Survey","Federal Government",1,08/29/2017
"Department of Energy","Arthur Mansure","Federal Government",1,02/23/2018
"Department of Energy","Atmospheric Radiation Measurement Data Center","Federal Government",903,02/28/2018
"Department of Energy","Beowawe Power LLC","Federal Government",1,08/29/2017
"Department of Energy","Bob Lawrence and Associates, Inc.","Federal Government",1,08/29/2017
"Department of Energy","Brookhaven National Laboratory","Federal Government",5,02/04/2018
"Department of Energy","California State University Long Beach","Federal Government",3,08/03/2018
"Department of Energy","Carnegie Mellon University","Federal Government",2,01/03/2018
"Department of Energy","Colorado School of Mines","Federal Government",1,12/03/2017
"Department of Energy","Cornell University","Federal Government",13,03/09/2018
"Department of Energy",DOE,"Federal Government",29,08/02/2018
"Department of Energy","DOE ARPA-E","Federal Government",2,06/23/2017
"Department of Energy","DOE Argonne National Laboratory","Federal Government",1,08/02/2018
"Department of Energy","DOE Congressional and Intergovernmental Affairs","Federal Government",2,06/23/2017
"Department of Energy","DOE Electricity Delivery and Energy Reliability","Federal Government",2,06/23/2017
"Department of Energy","DOE Energy Policy and Systems Analysis","Federal Government",2,06/23/2017
"Department of Energy","DOE General Counsel","Federal Government",3,06/23/2017
"Department of Energy","DOE Indian Energy Policy and Programs","Federal Government",1,06/23/2017
"Department of Energy","DOE Inspector General","Federal Government",1,06/23/2017
"Department of Energy","DOE Intelligence and Counterintelligence","Federal Government",1,06/23/2017
"Department of Energy","DOE International Affairs","Federal Government",1,06/23/2017
"Department of Energy","DOE Loan Programs Office","Federal Government",2,06/23/2017
"Department of Energy","DOE National Renewable Energy Laboratory","Federal Government",9,08/02/2018
"Department of Energy","DOE Nuclear Energy","Federal Government",1,06/23/2017
"Department of Energy","DOE Oak Ridge National Laboratory","Federal Government",2,10/09/2017
"Department of Energy","DOE Offfice of General Council","Federal Government",2,06/23/2017
"Department of Energy","DOE Office of Chief Financial Officer","Federal Government",1,06/23/2017
"Department of Energy","DOE Office of Chief Human Capital Officer","Federal Government",1,06/23/2017
"Department of Energy","DOE Office of Chief Information Officer","Federal Government",2,06/23/2017
"Department of Energy","DOE Office of Energy Efficiency and Renewable Energy","Federal Government",3,10/09/2017
"Department of Energy","DOE Office of Legacy Management","Federal Government",4,06/23/2017
"Department of Energy","DOE Office of Nuclear Energy","Federal Government",2,06/23/2017
"Department of Energy","DOE Office of Science","Federal Government",1,06/23/2017
"Department of Energy","DOE Office of Science and Technical Information","Federal Government",1,06/23/2017
"Department of Energy","DOE Office of Scientific and Technical Information","Federal Government",5,06/23/2017
"Department of Energy","DOE Public Affairs","Federal Government",1,06/23/2017
"Department of Energy","DOE Small and Disadvantaged Business Utilization","Federal Government",1,06/23/2017
"Department of Energy","DOE/Environmental Management Consolidated Business Center","Federal Government",1,10/10/2015
"Department of Energy","DOE/Oak Ridge National Laboratory","Federal Government",1,10/09/2017
"Department of Energy","DOE/Office of Environmental Management","Federal Government",6,06/23/2017
"Department of Energy","DOE/Office of Fossil Energy","Federal Government",5,10/09/2017
"Department of Energy","DOE/Office of Hearings and Appeals","Federal Government",1,06/23/2017
"Department of Energy","DOE/Richland Operations and the Office of River Protection","Federal Government",2,06/23/2017
"Department of Energy","Davenport Newberry Holdings, LLC","Federal Government",12,08/03/2018
"Department of Energy","Dehlsen Associates, LLC","Federal Government",1,02/04/2018
"Department of Energy","Department of Energy","Federal Government",9,10/09/2017
"Department of Energy","Department of Energy Office of Legacy Management, Technical Data Manager","Federal Government",1,06/23/2017
"Department of Energy","Department/Agency level/No publisher","Federal Government",1,08/29/2017
"Department of Energy","District Energy Corporation","Federal Government",3,08/29/2017
"Department of Energy","ElectraTherm, Inc.","Federal Government",16,02/23/2018
"Department of Energy","Energy and Geoscience Institute at the University of Utah","Federal Government",85,08/03/2018
"Department of Energy","Flint Geothermal, LLC","Federal Government",48,11/18/2017
"Department of Energy","GE Global Research","Federal Government",2,08/29/2017
"Department of Energy","Gas Equipment Engineering Corporation","Federal Government",1,08/29/2017
"Department of Energy","Georgia Tech Research Corpration","Federal Government",1,08/29/2017
"Department of Energy","Geothermal Resource Group on behalf of the City of Akutan","Federal Government",1,08/29/2017
"Department of Energy","Geothermal Technical Partners, Inc.","Federal Government",7,08/29/2017
"Department of Energy","Geysers Power Company, LLC","Federal Government",1,08/29/2017
"Department of Energy","Hattenburg Dilley and Linnell","Federal Government",9,02/23/2018
"Department of Energy","Honeywell International, Inc.","Federal Government",1,08/29/2017
"Department of Energy","Idaho National Laboratory","Federal Government",13,08/03/2018
"Department of Energy","Igiugig Village Council","Federal Government",1,12/03/2017
"Department of Energy","Impact Technologies LLC","Federal Government",3,02/23/2018
"Department of Energy","Jim Wilczak","Federal Government",8,03/26/2018
"Department of Energy","Julie Lundquist","Federal Government",3,03/26/2018
"Department of Energy","Katherine McCaffrey","Federal Government",6,03/26/2018
"Department of Energy","Ken Burk","Federal Government",26,03/26/2018
"Department of Energy","Kirk Clawson","Federal Government",3,03/26/2018
"Department of Energy","Laura Leo","Federal Government",4,03/26/2018
"Department of Energy","Lawrence Berkeley National Laboratory","Federal Government",15,08/02/2018
"Department of Energy","Lawrence Livermore National Laboratory","Federal Government",46,02/25/2018
"Department of Energy","Los Alamos National Laboratory","Federal Government",3,08/29/2017
"Department of Energy","M3 Wave","Federal Government",3,12/03/2017
"Department of Energy","Mark Stoelinga","Federal Government",9,03/26/2018
"Department of Energy","Matt Macduff","Federal Government",5,03/26/2018
"Department of Energy",NREL,"Federal Government",1,08/29/2017
"Department of Energy","National Energy Technology Laboratory","Federal Government",27,08/03/2018
"Department of Energy","National Energy Technology Laboratory (NETL)","Federal Government",5,08/03/2018
"Department of Energy","National Nuclear Security Administration","Federal Government",11,06/23/2017
"Department of Energy","National Nuclear Security Administration/LANL","Federal Government",1,06/23/2017
"Department of Energy","National Nuclear Security Administration/SNL","Federal Government",1,06/23/2017
"Department of Energy","National Renewable Energy Laboratory","Federal Government",386,08/03/2018
"Department of Energy","Nevada Bureau of Mines and Geology","Federal Government",5,02/23/2018
"Department of Energy","Nevada Geothermal Power Company","Federal Government",1,08/29/2017
"Department of Energy","New Mexico Bureau of Geology and Mineral Resources","Federal Government",6,08/29/2017
"Department of Energy","New Mexico Institute of Mining and Technology","Federal Government",2,08/29/2017
"Department of Energy",None,"Federal Government",3,01/08/2018
"Department of Energy","Northwest Energy Innovations","Federal Government",1,02/23/2018
"Department of Energy","Northwest National Marine Renewable Energy Center","Federal Government",7,08/03/2018
"Department of Energy","Northwest National Marine Renewable Energy Center (OSU)","Federal Government",1,02/23/2018
"Department of Energy","Northwest National Marine Renewable Energy Center (WU)","Federal Government",1,08/03/2018
"Department of Energy","Northwest National Marine renewable Energy Center (UW)","Federal Government",6,02/23/2018
"Department of Energy","Oak Ridge National Laboratory","Federal Government",18,02/25/2018
"Department of Energy","Ocean Renewable Power Company","Federal Government",3,02/23/2018
"Department of Energy","Office of Civil Rights","Federal Government",1,06/23/2017
"Department of Energy","Office of Economic Impact and Diversity","Federal Government",1,06/23/2017
"Department of Energy","Office of Energy Efficiency & Renewable Energy (EERE)","Federal Government",62,02/23/2018
"Department of Energy","Office of Energy Efficiency and Renewable Energy","Federal Government",1,08/03/2018
"Department of Energy","Office of Information Resources","Federal Government",1,08/03/2018
"Department of Energy","Office of Small and Disadvantaged Business Utilization (OSDBU)","Federal Government",6,04/10/2018
"Department of Energy","Oregon State University","Federal Government",6,08/03/2018
"Department of Energy","Ormat Nevada Inc","Federal Government",19,03/26/2018
"Department of Energy","Oski Energy LLC","Federal Government",12,08/03/2018
"Department of Energy","Pacific Northwest National Laboratory","Federal Government",17,03/09/2018
"Department of Energy","Ram Power, Inc.","Federal Government",3,08/29/2017
"Department of Energy","Regents of the University University of California","Federal Government",1,08/29/2017
"Department of Energy","Resolute Marine Energy, Inc.","Federal Government",2,02/23/2018
"Department of Energy","Ricardo Detroit Technical Center","Federal Government",27,02/23/2018
"Department of Energy","SMU Geothermal Laboratory","Federal Government",1,08/29/2017
"Department of Energy","Sandia National Laboratories","Federal Government",87,08/03/2018
"Department of Energy","Sebastian Otarola","Federal Government",1,03/26/2018
"Department of Energy","Simbol, Inc","Federal Government",1,08/29/2017
"Department of Energy",SmartGrid.gov,"Federal Government",2,08/29/2017
"Department of Energy","Sonia Wharton","Federal Government",2,03/26/2018
"Department of Energy","Southern Research Institute","Federal Government",11,08/03/2018
"Department of Energy","Surprise Valley Electrification Corp. (SVEC)","Federal Government",1,08/29/2017
"Department of Energy","Temple University","Federal Government",1,08/29/2017
"Department of Energy","Terra-Gen Sierra Holdings, LLC","Federal Government",24,08/29/2017
"Department of Energy","Thomas Herges","Federal Government",3,03/26/2018
"Department of Energy","Trabits Group, LLC","Federal Government",2,01/08/2018
"Department of Energy","Tusaar Corp.","Federal Government",18,02/23/2018
"Department of Energy","U.S. Department of Energy (DOE)","Federal Government",10,10/09/2017
"Department of Energy","U.S. Energy Information Administration","Federal Government",83,02/23/2018
"Department of Energy","U.S. Geothermal Inc.","Federal Government",1,03/09/2018
"Department of Energy","U.S. Office of Technology Transitions","Federal Government",1,08/29/2017
"Department of Energy","United States Geological Survey","Federal Government",3,08/29/2017
"Department of Energy","University of Alaska Fairbanks","Federal Government",1,02/23/2018
"Department of Energy","University of California Davis","Federal Government",17,08/03/2018
"Department of Energy","University of Hawaii","Federal Government",26,12/03/2017
"Department of Energy","University of Illinois","Federal Government",1,04/10/2018
"Department of Energy","University of Massachusetts","Federal Government",1,02/23/2018
"Department of Energy","University of Nevada","Federal Government",33,03/09/2018
"Department of Energy","University of Oregon","Federal Government",2,08/03/2018
"Department of Energy","University of Utah","Federal Government",19,08/03/2018
"Department of Energy","University of Washington","Federal Government",10,08/03/2018
"Department of Energy","University of Washington (NNMREC)","Federal Government",1,02/23/2018
"Department of Energy","University of Wisconsin","Federal Government",70,08/03/2018
"Department of Energy","University of Wyoming","Federal Government",6,12/17/2017
"Department of Energy","Utah State University","Federal Government",12,12/03/2017
"Department of Energy","Victor Morris","Federal Government",6,03/26/2018
"Department of Energy","Vortex Hydro Energy","Federal Government",1,02/25/2018
"Department of Energy","Washington Division of Geology and Earth Resources","Federal Government",1,08/29/2017
"Department of Energy","Washington Geological Survey","Federal Government",3,08/03/2018
"Department of Energy","Wind Powering America","Federal Government",1,08/29/2017
"Department of Energy","Wright State University","Federal Government",6,01/17/2018
"Department of Energy","kirk Clawson","Federal Government",4,03/26/2018
"Department of Health and Human Services",,"Federal Government",1571,08/02/2018
"Department of Health and Human Services","Administration for Children and Families","Federal Government",5,08/02/2018
